Country ;Shock;EUEntry
Austria ;1999;1995
Belgium ;1999;1993
Bulgaria ;2007;2007
Cyprus ;2004;2004
Czech Republic ;2004;2004
Denmark ;1999;1993
Estonia;2004;2004
Finland;1999;1995
France;1999;1993
Germany;1999;1993
Greece;2001;1993
Hungary;2004;2004
Ireland;1999;1993
Italy;1999;1993
Latvia;2004;2004
Lithuania;2004;2004
Luxembourg;1999;1993
Malta;2004;2004
Netherlands;1999;1993
Poland;2004;2004
Portugal;1999;1993
Romania;2007;2007
Slovakia;2004;2004
Slovenia;2004;2004
Spain;1999;1993
Sweden;1995;1995